### Module positions - created on 09/07/2014 14:31:37 ###
### Printed by Pcbnew version pcbnew (2013-07-07 BZR 4022)-stable
## Unit = mm, Angle = deg.
## Side : All
# Ref    Val                  Package         PosX       PosY        Rot     Side
                          Via_4_2           123.7691  -124.5616       0.0    Front
                          Via_5_3           142.5702  -112.6617       0.0    Front
Via_4_2  Val**            Via_4_2           158.2699   -90.8609       0.0    Front
Via_4_2  Val**            Via_4_2           138.8897  -107.8408       0.0    Front
Via_4_2  Val**            Via_4_2           149.4384   -98.9203       0.0    Front
Via_4_2  Val**            Via_4_2           124.2670   -97.0991       0.0    Front
X4       5-104348-3       VR_pinhead5       150.8100  -123.7500       0.0    Front
X5       5-104348-3       VR_pinhead5       163.5000  -122.2600     180.0    Front
X6       U.FL             U.FL              162.5700   -89.6100     270.0    Front
X7       U.FL             U.FL              162.5700  -113.8600     270.0    Front
XO1      RACON_TXCO_NF    SMD_TXCO          121.3000   -86.6000     180.0    Front
XO2      RTX5032A_30.72MH SMD_RTX5032A      121.3000   -86.6000     180.0    Front
C1       1uF              C_SM0402          144.8700  -107.2800       0.0    Back
C2       1uF              C_SM0402          146.7307  -105.5218      90.0    Back
C3       100nF            C_SM0402          150.5600  -100.8700      90.0    Back
C4       100nF            C_SM0402          141.4500   -98.0400      90.0    Back
C6       1uF              C_SM0402          142.6400  -108.4600     270.0    Back
C7       100nF            C_SM0402          142.2000   -96.4000     180.0    Back
C8       100nF            C_SM0402          150.9600   -95.0800       0.0    Back
C9       100nF            C_SM0402          148.0000  -107.0900       0.0    Back
C10      100nF            C_SM0402          151.3900  -105.7900      90.0    Back
C11      100nF            C_SM0402          153.1500  -106.4000     270.0    Back
C12      100nF            C_SM0402          140.6804   -87.4395       0.0    Back
C19      100nF            C_SM0402          146.1000  -107.2000     270.0    Back
C20      1uF              C_SM0402          139.5200   -95.6100     180.0    Back
C22      1uF              C_SM0603          130.0400  -115.9600     270.0    Back
C23      1uF              C_SM0603          134.5800  -117.7700     270.0    Back
C24      2.2uF            C_SM0603          141.2700  -117.0400      90.0    Back
C25      10nF             C_SM0402          140.7900  -115.4300       0.0    Back
C35      100nF            C_SM0402          148.4400  -110.0200     270.0    Back
C52      10uF             C_SM0603          138.4000  -122.4000       0.0    Back
C53      33pF             C_SM0402          153.1200  -104.4200      90.0    Back
C55      33pF             C_SM0402          154.4599   -98.1304       0.0    Back
C73      33pF             C_SM0402          150.8400   -97.8000      90.0    Back
C74      100nF            C_SM0402          150.3700   -92.0800     180.0    Back
C78      33pF             C_SM0402          150.5900  -104.2500      90.0    Back
C81      1uF              C_SM0603          123.0000  -122.4000     270.0    Back
C82      100nF            C_SM0402          142.6200   -94.6800     180.0    Back
C84      100nF            C_SM0402          152.4800  -114.3700     180.0    Back
C85      100nF            C_SM0402          152.5200  -112.6800     180.0    Back
C88      1uF              C_SM0603          121.0000  -115.8000      90.0    Back
C90      100nF            C_SM0402          147.5000  -110.0300     270.0    Back
C105     33pF             C_SM0402          148.5800  -105.5400       0.0    Back
C106     33pF             C_SM0402          150.9600   -95.8300       0.0    Back
C109     33pF             C_SM0402          143.4800   -95.6400     180.0    Back
C110     33pF             C_SM0402          143.5000   -97.4300     180.0    Back
C111     33pF             C_SM0402          146.0094  -105.5116      90.0    Back
C112     33pF             C_SM0402          149.9489  -105.9739      90.0    Back
C113     33pF             C_SM0402          152.3200  -106.4000     270.0    Back
C114     33pF             C_SM0402          151.2000   -99.9200     270.0    Back
C115     33pF             C_SM0402          149.6009   -98.0313     180.0    Back
C117     2.2uF            C_SM0603          141.5300  -112.7200      90.0    Back
C122     1uF              C_SM0603          135.7700  -111.3600     180.0    Back
C136     10nF             C_SM0402          139.5806  -110.4316     180.0    Back
C144     1uF              C_SM0603          132.3900  -111.9600       0.0    Back
C216     100nF            C_SM0402          156.2600   -99.5200       0.0    Back
C217     100nF            C_SM0402          149.5806   -97.0712     180.0    Back
C218     100nF            C_SM0402          143.3200  -105.6000     180.0    Back
C219     100nF            C_SM0402          154.4700  -104.4200      90.0    Back
C220     100nF            C_SM0402          154.4599   -98.9203       0.0    Back
C222     10uF             C_SM0603          155.6715  -108.8314       0.0    Back
C223     10uF             C_SM0603          152.9715   -93.9394     180.0    Back
C224     100nF            C_SM0402          154.8105  -102.0293      90.0    Back
DA1      LD1117DT33       DPAK2             132.7683  -122.3594      90.0    Back
DA2      LP2985IM5-1.8    SOT23-5           138.8974  -112.3391      90.0    Back
DA4      CDCV304PW        TSSOP-8           132.8191   -90.3402      90.0    Back
DA7      LP2985IM5-1.8    SOT23-5           136.5000  -117.3800      90.0    Back
Fiducial VAL**            Fiducial          164.1000  -125.5000       0.0    Back
Fiducial VAL**            Fiducial          163.7000   -83.3000       0.0    Back
Fiducial VAL**            Fiducial          119.0000   -81.8000       0.0    Back
R1       0                R_SM0805          138.6300  -120.2100     180.0    Back
R2       1M               R_SM0402          152.8900   -92.1300     180.0    Back
R3       1M               R_SM0402          153.5800   -91.1000     180.0    Back
R6       100MHz/600/0.2A  R_SM0402          155.7800  -104.8700       0.0    Back
R7       100MHz/600/0.2A  R_SM0402          143.5200  -107.7000     270.0    Back
R8       100MHz/600/0.2A  R_SM0402          154.4800   -97.3600       0.0    Back
R9       100MHz/600/0.2A  R_SM0402          144.4300  -108.5400      90.0    Back
R10      100MHz/600/0.2A  R_SM0402          155.4810  -109.8702     180.0    Back
R11      100MHz/600/0.2A  R_SM0402          155.3600   -95.1700      90.0    Back
R12      0                R_SM0402          156.2811  -100.3300     180.0    Back
R13      100MHz/600/0.2A  R_SM0402          146.7300  -109.2700      90.0    Back
R15      100MHz/600/0.2A  R_SM0402          149.7200   -95.4300      90.0    Back
R16      22               R_array           140.0302  -107.9906     180.0    Back
R17      22               R_array           136.9000  -104.0700      90.0    Back
R18      0                R_SM0402          154.3500  -105.9500     180.0    Back
R19      100MHz/600/0.2A  R_SM0402          151.0800  -107.7800     270.0    Back
R20      100MHz/600/0.2A  R_SM0402          141.2600   -95.6100     180.0    Back
R21      100MHz/600/0.2A  R_SM0402          150.0400   -94.2100     180.0    Back
R22      100MHz/600/0.2A  R_SM0402          147.4900  -108.3200     270.0    Back
R23      0                R_SM0402          130.0912   -90.5205     180.0    Back
R24      0                R_SM0402          130.1115   -89.6112       0.0    Back
R25      0                R_SM0402          138.7805   -87.4598       0.0    Back
R26      0                R_SM0402          134.3508   -87.4014     180.0    Back
R27      0                R_SM0402          132.4102   -96.4997       0.0    Back
R28      0                R_SM0402          140.3900   -90.1600      90.0    Back
R29      0                R_SM0402          137.9900   -92.0300      90.0    Back
R35      390              R_SM0402          146.4600  -113.2000       0.0    Back
R36      6K8              R_SM0402          144.7600  -113.2000       0.0    Back
R37      100MHz/600/0.2A  R_SM0402          156.3192  -102.4915       0.0    Back
R38      22               R_array           134.7699  -106.2406      90.0    Back
R39      22               R_array           136.9000  -108.7700      90.0    Back
R40      100MHz/600/0.2A  R_SM0402          142.0900   -93.0900     180.0    Back
R41      100MHz/60/1A     R_SM0805          133.2400  -115.7300       0.0    Back
R42      0                R_SM0402          140.5500   -98.0200      90.0    Back
R44      0                R_SM0402          130.3096   -96.5403     180.0    Back
R45      22               R_array           134.7699  -101.8718      90.0    Back
R46      0                R_SM0402          136.4513   -87.4014     180.0    Back
R47      22               R_array           136.9000   -99.7000      90.0    Back
R48      22               R_array           134.7699   -97.6808      90.0    Back
R50      1M               R_SM0402          152.5000  -113.4900     180.0    Back
R59      51               R_SM0402          154.6000  -123.1300      90.0    Back
R60      51               R_SM0402          159.6800  -123.0200      90.0    Back
R63      51               R_SM0402          162.2200  -123.1500      90.0    Back
R64      51               R_SM0402          152.0600  -123.1800      90.0    Back
R69      49.9             R_SM0402          154.4800   -88.8800     180.0    Back
R74      22               R_SM0402          154.0408  -109.0803     270.0    Back
R75      22               R_SM0402          154.8892   -93.9317       0.0    Back
R82      0                R_SM0805          142.8699  -113.9596     270.0    Back
R83      10K              R_SM0402          130.1115   -88.6206     180.0    Back
R85      10K              R_SM0402          132.4800   -95.5300     180.0    Back
R87      100MHz/600/0.2A  R_SM0402          156.3014  -101.0895     180.0    Back
R94      10K              R_SM0402          132.4200   -92.6700       0.0    Back
R95      10K              R_SM0402          132.4100   -91.8700       0.0    Back
R96      10K              R_SM0402          132.4600   -94.6800       0.0    Back
R98      10K              R_SM0402          132.4610   -93.8606       0.0    Back
R130     47               R_SM0402          130.3600   -91.8700     180.0    Back
R131     47               R_SM0402          130.3600   -92.6800     180.0    Back
R132     47               R_SM0402          130.2900   -94.6800     180.0    Back
R133     47               R_SM0402          130.2800   -93.8600     180.0    Back
R134     47               R_SM0402          130.2700   -95.5300     180.0    Back
R139     0                R_SM0402          154.0205  -102.0293     270.0    Back
R153     0                R_SM0402          141.8100  -108.4700     270.0    Back
R164     0                R_SM0402          152.7912  -102.5017       0.0    Back
R211     100MHz/60/1A     R_SM0805          133.2900  -113.5300       0.0    Back
R215     100MHz/60/1A     R_SM0805          121.5000  -118.9000     270.0    Back
## End
